user_id,transaction_date,revenue,platform,acquisition_channel
user_72,05-08-2024,18.40,web,Facebook Ads
user_72,29-02-2024,65.16,app,Email Campaign
user_72,18-07-2024,16.66,app,Email Campaign
user_72,28-08-2024,71.87,app,Email Campaign
user_72,04-03-2024,29.65,web,Referral
user_72,13-03-2024,64.29,web,Google Ads
user_74,08-10-2024,58.75,app,Google Ads
user_74,13-07-2024,53.68,app,Facebook Ads
user_74,12-11-2024,43.24,web,Organic Search
user_74,24-03-2024,17.57,app,Facebook Ads
user_74,21-10-2024,69.90,app,Email Campaign
user_74,01-05-2024,59.77,web,Google Ads
user_74,01-09-2024,66.88,app,Email Campaign
user_75,04-12-2024,30.32,app,Facebook Ads
user_75,20-10-2024,65.14,web,Facebook Ads
user_75,17-07-2024,84.62,web,Facebook Ads
user_75,12-03-2024,9.46,web,Organic Search
user_75,06-08-2024,12.87,web,Facebook Ads
user_75,24-02-2024,41.98,web,Referral
user_77,19-11-2024,42.68,app,Email Campaign
user_77,18-09-2024,56.29,web,Referral
user_78,19-12-2024,50.05,web,Google Ads
user_78,24-11-2024,52.07,web,Facebook Ads
user_79,24-11-2024,82.81,app,Referral
user_79,19-05-2024,61.07,web,Referral
user_79,08-12-2024,18.00,app,Google Ads
user_79,06-12-2024,13.24,app,Organic Search
user_79,28-10-2024,65.70,app,Email Campaign
user_79,23-08-2024,98.15,app,Referral
user_79,29-06-2024,70.85,web,Facebook Ads
user_79,25-03-2024,9.20,web,Google Ads
user_79,15-11-2024,58.95,app,Email Campaign
user_80,07-11-2024,15.95,web,Email Campaign
user_80,05-08-2024,75.78,web,Organic Search
user_80,26-08-2024,8.52,web,Organic Search
user_80,31-08-2024,16.45,web,Email Campaign
user_80,02-11-2024,37.29,app,Referral
user_80,23-06-2024,34.95,web,Email Campaign
user_80,11-12-2024,54.42,web,Referral
user_83,17-11-2024,11.65,web,Email Campaign
user_85,26-12-2024,49.39,web,Facebook Ads
user_86,30-07-2024,95.86,app,Email Campaign
user_86,26-09-2024,98.32,app,Organic Search
user_86,13-05-2024,63.27,web,Referral
user_87,09-05-2024,94.56,web,Email Campaign
user_87,27-10-2024,53.71,web,Facebook Ads
user_87,02-10-2024,8.49,app,Email Campaign
user_88,09-04-2024,25.55,web,Referral
user_88,20-10-2024,21.52,web,Facebook Ads
user_88,24-04-2024,99.65,app,Organic Search
user_88,17-11-2024,26.26,web,Google Ads
user_90,29-12-2024,81.90,web,Email Campaign
user_90,13-11-2024,40.41,web,Email Campaign
user_90,10-10-2024,55.60,app,Email Campaign
user_90,01-10-2024,10.84,app,Email Campaign
user_91,28-08-2024,67.90,web,Email Campaign
user_94,08-11-2024,71.26,web,Organic Search
user_94,01-10-2024,88.76,app,Google Ads
user_94,25-10-2024,83.45,web,Organic Search
user_94,02-11-2024,20.27,app,Email Campaign
user_94,06-10-2024,5.61,web,Organic Search
user_95,26-08-2024,40.79,web,Email Campaign
user_95,27-06-2024,17.20,web,Facebook Ads
user_95,05-09-2024,96.48,web,Referral
user_95,16-12-2024,93.54,web,Referral
user_95,14-09-2024,94.99,web,Referral
user_95,27-07-2024,10.50,web,Facebook Ads
user_95,17-11-2024,99.06,web,Referral
user_96,13-09-2024,11.23,app,Organic Search
user_96,03-11-2024,5.10,web,Facebook Ads
user_97,16-05-2024,55.07,app,Organic Search
user_97,15-08-2024,78.42,web,Organic Search
user_97,04-05-2024,87.47,app,Referral
user_99,24-06-2024,25.24,web,Google Ads
user_99,20-10-2024,40.01,app,Organic Search
user_99,26-03-2024,20.13,web,Email Campaign
user_99,18-11-2024,19.60,web,Facebook Ads
user_99,31-07-2024,64.49,web,Email Campaign
user_99,07-02-2024,92.48,web,Google Ads
user_100,07-10-2024,24.05,web,Email Campaign
user_100,09-12-2024,34.48,web,Email Campaign
user_102,11-02-2024,71.02,app,Google Ads
user_102,24-10-2024,50.65,web,Google Ads
user_102,16-04-2024,98.73,web,Referral
user_102,27-06-2024,37.87,app,Facebook Ads
user_102,02-02-2024,55.75,app,Google Ads
user_103,12-09-2024,17.61,web,Facebook Ads
user_103,22-10-2024,24.01,web,Google Ads
user_104,10-05-2024,93.94,web,Google Ads
user_104,21-11-2024,87.74,app,Referral
user_105,17-10-2024,57.02,app,Facebook Ads
user_105,26-03-2024,8.87,web,Organic Search
user_105,04-04-2024,28.47,web,Email Campaign
user_105,21-11-2024,25.83,app,Referral
user_105,12-09-2024,22.30,app,Organic Search
user_105,13-06-2024,6.98,web,Email Campaign
user_107,20-12-2024,45.42,web,Referral
user_107,16-12-2024,52.96,web,Organic Search
user_108,31-12-2024,42.57,web,Facebook Ads
user_109,29-02-2024,74.65,web,Referral
user_109,05-10-2024,62.18,web,Facebook Ads
user_110,28-11-2024,28.49,app,Google Ads
user_111,02-04-2024,86.51,web,Google Ads
user_111,09-07-2024,97.13,web,Organic Search
user_111,06-02-2024,11.98,web,Facebook Ads
user_111,29-04-2024,37.02,app,Google Ads
user_111,08-06-2024,28.63,web,Google Ads
user_111,05-12-2024,20.87,web,Google Ads
user_111,13-05-2024,74.96,web,Email Campaign
user_111,27-11-2024,85.20,app,Referral
user_111,21-08-2024,58.02,web,Referral
user_113,08-10-2024,16.60,web,Email Campaign
user_113,05-12-2024,35.03,web,Referral
user_115,18-11-2024,48.20,web,Facebook Ads
user_117,13-12-2024,13.92,web,Email Campaign
user_117,02-04-2024,29.25,web,Facebook Ads
user_117,30-04-2024,28.19,app,Google Ads
user_117,23-03-2024,15.75,app,Referral
user_117,22-10-2024,62.06,app,Email Campaign
user_117,06-11-2024,66.87,web,Referral
user_117,17-07-2024,9.58,app,Google Ads
user_118,04-09-2024,13.60,web,Organic Search
user_118,29-09-2024,43.39,web,Organic Search
user_118,13-09-2024,88.40,web,Email Campaign
user_118,30-10-2024,16.42,web,Google Ads
user_118,13-11-2024,64.87,web,Email Campaign
user_121,21-04-2024,56.52,app,Facebook Ads
user_122,02-12-2024,37.42,web,Facebook Ads
user_122,09-12-2024,62.75,app,Facebook Ads
user_123,10-08-2024,90.31,web,Organic Search
user_123,05-06-2024,10.73,app,Organic Search
user_124,18-03-2024,93.31,web,Facebook Ads
user_124,27-07-2024,73.03,web,Referral
user_124,20-05-2024,16.58,web,Referral
user_124,04-05-2024,80.98,web,Google Ads
user_125,28-04-2024,50.94,app,Google Ads
user_125,25-07-2024,9.12,web,Organic Search
user_125,24-06-2024,62.15,app,Referral
user_125,01-03-2024,25.14,web,Facebook Ads
user_125,04-06-2024,84.79,app,Google Ads
user_125,07-07-2024,29.29,web,Organic Search
user_125,14-05-2024,45.26,web,Facebook Ads
user_125,17-07-2024,19.22,web,Email Campaign
user_126,28-11-2024,49.92,web,Email Campaign
user_127,18-06-2024,27.03,web,Email Campaign
user_128,12-12-2024,69.20,web,Email Campaign
user_129,24-10-2024,62.31,web,Email Campaign
user_129,10-11-2024,13.14,app,Organic Search
user_129,17-12-2024,35.72,web,Google Ads
user_131,04-07-2024,56.30,app,Facebook Ads
user_131,02-04-2024,55.63,web,Organic Search
user_131,17-12-2024,9.97,web,Google Ads
user_131,12-11-2024,74.41,web,Referral
user_133,06-03-2024,38.02,web,Referral
user_133,26-02-2024,93.08,web,Referral
user_133,17-06-2024,19.48,app,Referral
user_133,23-06-2024,68.80,web,Facebook Ads
user_133,11-10-2024,87.15,web,Referral
user_133,01-04-2024,20.13,web,Referral
user_133,23-07-2024,30.00,web,Email Campaign
user_133,07-11-2024,94.01,web,Organic Search
user_134,28-11-2024,62.06,web,Organic Search
user_134,17-11-2024,99.26,app,Facebook Ads
user_135,25-07-2024,82.66,web,Facebook Ads
user_136,13-03-2024,33.94,web,Email Campaign
user_136,16-08-2024,21.48,web,Facebook Ads
user_136,28-09-2024,97.68,web,Google Ads
user_136,12-12-2024,50.54,web,Google Ads
user_136,24-06-2024,90.33,app,Referral
user_137,13-06-2024,39.92,web,Facebook Ads
user_137,18-02-2024,27.09,web,Referral
user_137,07-11-2024,16.59,web,Referral
user_139,28-07-2024,19.44,web,Organic Search
user_139,20-11-2024,25.12,web,Facebook Ads
user_140,29-06-2024,12.09,app,Organic Search
user_140,10-12-2024,70.76,web,Referral
user_140,07-12-2024,99.69,app,Referral
user_140,29-10-2024,64.27,web,Facebook Ads
user_140,24-05-2024,80.25,web,Email Campaign
user_140,29-03-2024,54.92,web,Email Campaign
user_140,16-06-2024,96.56,web,Organic Search
user_141,19-11-2024,60.30,web,Email Campaign
user_141,05-11-2024,35.73,app,Email Campaign
user_142,27-11-2024,51.35,web,Referral
user_142,28-12-2024,52.44,web,Email Campaign
user_143,25-03-2024,28.13,web,Organic Search
user_143,22-09-2024,63.34,app,Facebook Ads
user_143,23-02-2024,95.84,web,Google Ads
user_143,01-06-2024,34.96,web,Referral
user_144,07-09-2024,8.65,app,Email Campaign
user_146,03-06-2024,69.62,web,Google Ads
user_146,03-06-2024,73.05,web,Organic Search
user_146,07-08-2024,8.38,web,Facebook Ads
user_147,14-12-2024,67.83,web,Organic Search
user_148,24-12-2024,30.18,web,Referral
user_151,24-09-2024,9.15,web,Facebook Ads
user_152,02-10-2024,41.92,web,Referral
user_152,30-12-2024,69.22,web,Google Ads
user_152,30-09-2024,82.51,app,Google Ads
user_153,23-10-2024,97.95,app,Referral
user_154,19-06-2024,56.26,app,Facebook Ads
user_154,26-06-2024,70.10,web,Facebook Ads
user_154,31-08-2024,51.40,web,Referral
user_155,09-07-2024,33.27,web,Email Campaign
user_155,05-08-2024,87.97,web,Email Campaign
user_155,25-10-2024,20.28,web,Google Ads
user_156,15-04-2024,23.43,app,Facebook Ads
user_156,12-01-2024,75.52,app,Organic Search
user_156,08-03-2024,38.76,app,Referral
user_156,28-03-2024,85.56,app,Referral
user_156,29-07-2024,6.05,app,Email Campaign
user_157,03-04-2024,76.85,app,Organic Search
user_157,29-04-2024,16.85,web,Referral
user_157,08-02-2024,79.14,web,Facebook Ads
user_157,07-11-2024,67.99,web,Email Campaign
user_157,08-08-2024,63.86,web,Google Ads
user_157,08-02-2024,43.22,app,Email Campaign
user_157,02-02-2024,73.72,web,Facebook Ads
user_157,14-03-2024,71.78,web,Facebook Ads
user_157,25-06-2024,81.47,web,Referral
user_159,03-11-2024,54.43,web,Google Ads
user_159,25-10-2024,27.41,web,Google Ads
user_160,04-10-2024,45.02,web,Organic Search
user_160,10-11-2024,99.16,app,Google Ads
user_160,25-07-2024,60.84,web,Email Campaign
user_160,11-09-2024,36.78,web,Google Ads
user_160,22-08-2024,30.94,web,Email Campaign
user_160,16-06-2024,94.36,web,Facebook Ads
user_161,26-04-2024,46.34,app,Referral
user_162,14-12-2024,9.73,app,Organic Search
user_162,05-08-2024,79.12,web,Google Ads
user_162,27-09-2024,26.40,web,Google Ads
user_162,29-04-2024,92.65,web,Email Campaign
user_162,13-07-2024,31.81,web,Organic Search
user_163,04-12-2024,97.61,web,Facebook Ads
user_163,15-10-2024,11.21,web,Organic Search
user_163,29-10-2024,63.87,web,Email Campaign
user_164,16-03-2024,90.48,web,Organic Search
user_164,02-06-2024,17.16,app,Email Campaign
user_165,01-11-2024,98.22,web,Organic Search
user_165,15-08-2024,23.82,web,Organic Search
user_165,28-10-2024,19.37,web,Facebook Ads
user_165,14-08-2024,58.32,web,Email Campaign
user_166,10-03-2024,11.43,app,Google Ads
user_166,04-05-2024,12.76,web,Google Ads
user_167,06-01-2024,68.10,web,Facebook Ads
user_167,11-04-2024,86.89,web,Referral
user_167,13-12-2024,79.76,web,Organic Search
user_167,21-05-2024,97.92,app,Google Ads
user_167,05-02-2024,29.57,web,Referral
user_168,21-12-2024,24.46,app,Referral
user_168,31-10-2024,29.27,app,Facebook Ads
user_168,26-08-2024,58.01,web,Organic Search
user_169,19-05-2024,42.12,app,Referral
user_169,17-11-2024,83.10,web,Organic Search
user_169,27-08-2024,96.63,web,Facebook Ads
user_169,20-02-2024,32.28,app,Referral
user_169,07-05-2024,34.67,web,Facebook Ads
user_169,25-03-2024,47.52,web,Facebook Ads
user_169,01-11-2024,63.28,web,Organic Search
user_169,05-06-2024,21.04,web,Referral
user_170,17-04-2024,74.60,app,Email Campaign
user_171,03-10-2024,16.18,app,Google Ads
user_171,03-11-2024,51.11,web,Email Campaign
user_172,19-11-2024,67.33,web,Email Campaign
user_172,05-05-2024,13.84,web,Referral
user_172,11-09-2024,12.54,app,Email Campaign
user_172,31-12-2024,82.81,web,Organic Search
user_174,07-09-2024,38.05,web,Facebook Ads
user_174,18-10-2024,66.86,web,Google Ads
user_174,20-11-2024,49.77,app,Organic Search
user_175,02-12-2024,34.92,web,Google Ads
user_175,28-09-2024,84.52,web,Organic Search
user_176,18-11-2024,8.15,web,Referral
user_177,16-10-2024,68.17,web,Google Ads
user_177,20-06-2024,68.72,web,Organic Search
user_178,23-03-2024,26.54,web,Organic Search
user_178,10-07-2024,97.80,web,Referral
user_178,21-11-2024,45.04,web,Google Ads
user_178,07-05-2024,97.41,app,Organic Search
user_178,02-09-2024,84.75,app,Google Ads
user_178,22-10-2024,64.68,web,Organic Search
user_178,13-06-2024,71.85,web,Google Ads
user_178,26-11-2024,9.38,web,Referral
user_179,09-12-2024,12.05,web,Google Ads
user_179,02-12-2024,11.13,app,Facebook Ads
user_179,22-09-2024,61.36,app,Email Campaign
user_179,21-07-2024,80.48,web,Organic Search
user_179,23-07-2024,79.97,web,Email Campaign
user_181,06-10-2024,7.39,web,Referral
user_182,05-09-2024,78.52,web,Facebook Ads
user_182,16-06-2024,21.21,app,Referral
user_182,19-08-2024,65.76,web,Referral
user_182,12-04-2024,27.25,app,Organic Search
user_184,06-06-2024,43.66,app,Facebook Ads
user_185,23-11-2024,62.39,app,Organic Search
user_186,19-07-2024,50.79,web,Organic Search
user_187,25-12-2024,5.73,web,Organic Search
user_190,25-09-2024,32.03,app,Email Campaign
user_190,17-10-2024,53.20,app,Email Campaign
user_192,01-10-2024,74.34,app,Email Campaign
user_193,13-12-2024,33.19,app,Referral
user_193,23-12-2024,73.53,app,Email Campaign
user_193,18-11-2024,8.85,app,Facebook Ads
user_194,26-07-2024,13.77,web,Referral
user_196,01-07-2024,94.46,web,Google Ads
user_196,09-12-2024,39.38,web,Facebook Ads
user_196,17-12-2024,18.19,web,Referral
user_197,25-08-2024,75.39,web,Organic Search
user_198,13-12-2024,33.03,web,Email Campaign
user_199,19-04-2024,25.52,web,Google Ads
user_199,20-12-2024,85.33,web,Facebook Ads
user_199,08-06-2024,12.37,web,Facebook Ads
user_199,31-03-2024,47.41,app,Organic Search
user_199,12-09-2024,86.47,app,Organic Search
user_200,04-08-2024,42.33,web,Facebook Ads
user_200,29-09-2024,45.90,web,Google Ads
user_200,05-11-2024,94.93,web,Facebook Ads
user_200,30-08-2024,61.62,web,Email Campaign
user_200,19-10-2024,25.70,app,Google Ads
user_200,27-05-2024,70.39,web,Email Campaign
user_200,02-07-2024,96.58,web,Organic Search
user_202,30-05-2024,16.03,app,Email Campaign
user_202,04-03-2024,89.40,web,Referral
user_202,17-08-2024,98.48,web,Referral
user_202,17-05-2024,97.22,app,Email Campaign
user_202,12-07-2024,50.40,web,Email Campaign
user_203,15-12-2024,83.55,app,Facebook Ads
user_203,24-11-2024,96.81,web,Organic Search
user_204,05-09-2024,24.69,app,Organic Search
user_204,27-12-2024,33.55,web,Facebook Ads
user_205,20-06-2024,8.75,web,Referral
user_205,06-11-2024,17.58,web,Facebook Ads
user_206,06-08-2024,87.65,web,Organic Search
user_206,25-06-2024,80.45,web,Facebook Ads
user_206,02-07-2024,97.11,app,Facebook Ads
user_206,06-10-2024,50.92,app,Facebook Ads
user_207,16-10-2024,46.92,web,Google Ads
user_207,11-11-2024,73.94,app,Organic Search
user_207,04-06-2024,47.13,web,Referral
user_207,24-08-2024,24.05,web,Referral
user_209,27-07-2024,88.93,web,Email Campaign
user_209,30-11-2024,93.01,web,Email Campaign
user_209,25-12-2024,73.66,web,Facebook Ads
user_209,28-09-2024,66.22,app,Google Ads
user_209,24-10-2024,74.64,web,Organic Search
user_209,13-06-2024,24.06,app,Organic Search
user_209,29-07-2024,37.47,web,Email Campaign
user_210,18-11-2024,67.56,app,Referral
user_210,18-06-2024,63.29,web,Google Ads
user_210,28-07-2024,38.14,web,Referral
user_210,03-11-2024,71.29,web,Organic Search
user_210,14-09-2024,87.55,web,Google Ads
user_211,31-10-2024,50.43,web,Facebook Ads
user_211,22-06-2024,68.35,web,Facebook Ads
user_211,07-10-2024,43.48,app,Email Campaign
user_212,10-11-2024,25.39,web,Google Ads
user_213,31-07-2024,52.79,web,Facebook Ads
user_213,24-03-2024,11.82,web,Facebook Ads
user_213,23-03-2024,81.38,web,Referral
user_213,22-08-2024,92.10,app,Referral
user_213,28-05-2024,20.07,app,Facebook Ads
user_214,08-09-2024,35.17,web,Facebook Ads
user_214,22-12-2024,72.93,web,Google Ads
user_214,17-10-2024,84.74,web,Email Campaign
user_214,25-12-2024,93.43,app,Organic Search
user_214,15-12-2024,58.67,app,Referral
user_214,29-10-2024,91.18,app,Organic Search
user_215,04-11-2024,93.95,web,Google Ads
user_216,02-12-2024,69.21,web,Email Campaign
user_216,17-08-2024,22.37,web,Organic Search
user_217,25-12-2024,79.27,web,Facebook Ads
user_217,30-04-2024,52.36,web,Google Ads
user_217,18-11-2024,15.54,web,Organic Search
user_217,12-09-2024,5.27,app,Email Campaign
user_217,17-08-2024,57.45,web,Facebook Ads
user_217,05-02-2024,40.26,app,Google Ads
user_217,29-04-2024,69.39,web,Facebook Ads
user_217,23-08-2024,93.43,web,Organic Search
user_218,24-06-2024,72.75,web,Referral
user_218,17-06-2024,32.30,web,Google Ads
user_218,15-07-2024,15.59,web,Referral
user_218,19-07-2024,70.36,web,Facebook Ads
user_219,26-10-2024,51.82,web,Google Ads
user_219,14-11-2024,30.33,app,Google Ads
user_219,30-12-2024,8.96,web,Google Ads
user_220,30-09-2024,30.39,web,Referral
user_220,30-10-2024,86.43,web,Facebook Ads
user_220,31-10-2024,41.35,web,Email Campaign
user_220,08-09-2024,46.37,web,Google Ads
user_221,01-03-2024,38.07,web,Organic Search
user_222,27-12-2024,85.47,web,Organic Search
user_222,24-12-2024,62.58,web,Email Campaign
user_222,13-12-2024,19.47,app,Email Campaign
user_222,17-10-2024,28.43,web,Referral
user_223,08-08-2024,95.99,app,Email Campaign
user_223,08-11-2024,66.84,web,Referral
user_223,21-08-2024,26.41,web,Facebook Ads
user_223,30-08-2024,85.48,web,Organic Search
user_225,12-11-2024,73.87,web,Google Ads
user_225,01-10-2024,10.91,web,Email Campaign
user_225,03-07-2024,64.94,web,Google Ads
user_225,22-11-2024,27.98,web,Email Campaign
user_226,20-12-2024,81.66,web,Facebook Ads
user_226,22-10-2024,20.75,web,Referral
user_228,26-12-2024,27.99,app,Referral
user_228,30-12-2024,52.33,web,Organic Search
user_229,15-12-2024,21.73,web,Facebook Ads
user_231,08-12-2024,20.36,web,Referral
user_232,26-09-2024,58.68,app,Referral
user_233,18-04-2024,38.92,app,Facebook Ads
user_233,23-11-2024,65.26,web,Referral
